"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_compoundId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
1	"C41H78NO8P"	"[M + H]+"	"C41H79NO8P+"	"Fatty acids"	0.999	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.997	"Lipids and lipid-like molecules"	0.987	"Glycerophospholipids"	0.999	"Glycerophosphocholines"	0.996	"Phosphatidylcholines"	0.99	"Phosphatidylcholines"	0.99	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	744.554	372	6.207	860778137431328256	860777696756746624	860777696756746624	1683	NA	1683
1	"C30H38N2O2"	"[M + H3N + H]+"	"C30H42N3O2+"	"Shikimates and Phenylpropanoids"	0.283	"Flavonoids"	0.133	"Acridone alkaloids"	0.209	"Benzenoids"	0.997	"Benzene and substituted derivatives"	0.943	"Phenylpropanes"	0.963	NA	NA	"Phenylpropanes"	0.963	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	476.329	373	6.208	860778139406845696	860777696953878912	860777696953878912	1689	NA	1689
1	"C46H80NO10P"	"[M + H]+"	"C46H81NO10P+"	"Fatty acids"	0.999	"Glycerophospholipids"	1	"Glycerophosphoserines"	0.999	"Lipids and lipid-like molecules"	0.993	"Glycerophospholipids"	0.998	"Glycerophosphoserines"	0.999	"Phosphatidylserines"	0.993	"Phosphatidylserines"	0.993	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylserines; Carbonyl compounds; Tricarboxylic acids and derivatives; Glycerophosphoserines; Alpha amino acids; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	838.56	373	6.209	860778142833592320	860777697054542208	860777697054542208	1692	NA	1692
5	"C30H35NO2"	"[M + H3N + H]+"	"C30H39N2O2+"	"Shikimates and Phenylpropanoids"	0.466	"Flavonoids"	0.406	"Chalcones"	0.329	"Benzenoids"	0.998	"Benzene and substituted derivatives"	0.933	"Phenylpropanes"	0.926	NA	NA	"Phenylpropanes"	0.926	"Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	459.303	373	6.209	860778145236928768	860777696991627648	860777696991627648	1690	NA	1690
4	"C24H48N8O5"	"[M + H3N + H]+"	"C24H52N9O5+"	"Amino acids and Peptides"	0.662	"Oligopeptides"	0.715	"Tripeptides"	0.255	"Organic acids and derivatives"	0.828	"Carboxylic acids and derivatives"	0.624	"Amino acids, peptides, and analogues"	0.632	"Amino acids and derivatives"	0.609	"Alpha amino acids and derivatives"	0.528	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	546.407	373	6.209	860778140631582592	860777697025182080	860777697020987776	1691	NA	1691
10	"C30H50NO3P"	"[M + H]+"	"C30H51NO3P+"	"Terpenoids"	0.577	"Polyprenols"	0.144	"Prenyl quinone meroterpenoids"	0.071	"Organic acids and derivatives"	0.962	"Organic phosphoric acids and derivatives"	0.988	"Phosphate esters"	0.986	"Aryl phosphates"	0.512	"Aryl phosphodiesters"	0.523	"Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Benzene and substituted derivatives; Benzenoids; Amines; Phenylpropanes; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl phosphates; Aryl phosphodiesters; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	504.361	373	6.21	860778137540380160	860777697163594112	860777697163594112	1695	NA	1695
1	"C48H90N4O5"	"[M + H3N + H]+"	"C48H94N5O5+"	"Fatty acids"	0.796	"Oligopeptides"	0.431	"Ceramides"	0.053	"Organic acids and derivatives"	0.997	"Carboxylic acids and derivatives"	0.993	"Amino acids, peptides, and analogues"	0.833	"Amino acids and derivatives"	0.81	"Alpha amino acids and derivatives"	0.716	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	820.726	373	6.21	860778143815059584	860777696886770048	860777696886770048	1687	NA	1687
1	"C34H67NO3"	"[M + Na]+"	"C34H67NNaO3+"	"Fatty acids"	1	"Fatty amides"	0.945	"N-acyl amines"	0.269	"Lipids and lipid-like molecules"	0.973	"Fatty Acyls"	0.964	"Fatty amides"	0.943	"N-acyl amines"	0.907	"N-acyl amines"	0.907	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	560.504	373	6.21	860778146994342272	860777697335560576	860777697335560576	1700	NA	1700
1	"C54H87N3O3"	"[M + H]+"	"C54H88N3O3+"	"Fatty acids"	0.994	"Fatty amides"	0.903	"N-acyl amines"	0.558	"Organic acids and derivatives"	0.997	"Carboxylic acids and derivatives"	0.995	"Amino acids, peptides, and analogues"	0.582	"Amino acids and derivatives"	0.576	"Amino acids and derivatives"	0.576	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	826.684	373	6.21	860778137917867520	860777697197148544	860777697197148544	1696	NA	1696
1	"C24H46O"	"[M + H3N + H]+"	"C24H50NO+"	"Fatty acids"	0.913	"Fatty acyls"	0.702	"Fatty alcohols"	0.508	"Lipids and lipid-like molecules"	0.774	"Fatty Acyls"	0.693	NA	NA	NA	NA	"Fatty Acyls"	0.693	"Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	368.389	373	6.212	860778143253022720	860777697234897280	860777697230702976	1697	NA	1697
3	"C48H95NO2"	"[M + H3N + H]+"	"C48H99N2O2+"	"Fatty acids"	0.998	"Fatty amides"	0.974	"N-acyl amines"	0.326	"Lipids and lipid-like molecules"	0.975	"Fatty Acyls"	0.961	"Fatty amides"	0.942	"N-acyl amines"	0.837	"N-acyl amines"	0.837	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	735.771	373	6.212	860778143575984256	860777697268451712	860777697268451712	1698	NA	1698
1	"C31H44O6"	"[M + H3N + H]+"	"C31H48NO6+"	"Terpenoids"	0.688	"Diterpenoids"	0.204	"Beyerane diterpenoids"	0.073	"Lipids and lipid-like molecules"	0.761	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.761	"Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	530.348	373	6.214	860778151104760704	860777697725630976	860777697725630976	1712	NA	1712
1	"C26H49NO5S"	"[M + H3N + H]+"	"C26H53N2O5S+"	"Terpenoids"	0.529	"Steroids"	0.367	"Cholane steroids"	0.236	"Lipids and lipid-like molecules"	0.866	"Steroids and steroid derivatives"	0.679	"Bile acids, alcohols and derivatives"	0.524	NA	NA	"Bile acids, alcohols and derivatives"	0.524	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Sulfonyls; Organosulfonic acids; Bile acids, alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	505.365	373	6.214	860778157538823552	860777696920324480	860777696920324480	1688	NA	1688
1	"C50H82NO8P"	"[M + H]+"	"C50H83NO8P+"	"Fatty acids"	1	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.999	"Lipids and lipid-like molecules"	0.991	"Glycerophospholipids"	0.999	"Glycerophosphocholines"	0.997	"Phosphatidylcholines"	0.991	"Phosphatidylcholines"	0.991	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	856.585	373	6.217	860778143764727936	860777697302006144	860777697302006144	1699	NA	1699
1	"C24H52Si"	"[M + H]+"	"C24H53Si+"	"Fatty acids"	0.836	"Fatty acyls"	0.897	"Fatty alcohols"	0.237	"Lipids and lipid-like molecules"	0.83	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.83	"Organic compounds; Lipids and lipid-like molecules; Hydrocarbon derivatives; Saturated hydrocarbons; Chemical entities"	369.391	373	6.221	860778140719662976	860777696786106752	860777696786106752	1684	NA	1684
1	"C41H76N2O12"	"[M + H3N + H]+"	"C41H80N3O12+"	"Polyketides"	0.769	"Macrolides"	0.927	"Erythromycins"	0.329	"Organic oxygen compounds"	0.998	"Organooxygen compounds"	0.997	"Carbohydrates and carbohydrate conjugates"	0.677	"Aminosaccharides"	0.767	"Aminoglycosides"	0.647	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alcohols and polyols; Macrolides and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Amines; Alkanolamines; Aminosaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	806.57	374	6.236	860778482345742336	860777697528498560	860777697528498560	1706	NA	1706
1	"C29H40O6"	"[M + H3N + H]+"	"C29H44NO6+"	"Terpenoids"	0.534	"Sesquiterpenoids"	0.226	"Furocoumarins"	0.052	"Benzenoids"	0.774	NA	NA	NA	NA	NA	NA	"Benzenoids"	0.774	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	502.317	374	6.238	860778145266288896	860777698082146816	860777698082146816	1723	NA	1723
1	"C29H48O"	"[M + H3N + H]+"	"C29H52NO+"	"Terpenoids"	0.895	"Steroids"	0.937	"Cholestane steroids"	0.64	"Lipids and lipid-like molecules"	0.97	"Steroids and steroid derivatives"	0.858	"Cholestane steroids"	0.526	"Cholesterols and derivatives"	0.5	"Cholesterols and derivatives"	0.5	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organooxygen compounds; Cholesterols and derivatives; Secondary alcohols; Cholestane steroids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	430.404	375	6.25	860778146239367552	860777697595607552	860777697595607424	1708	NA	1708
3	"C31H54N2O"	"[M + H3N + H]+"	"C31H58N3O+"	"Fatty acids"	0.987	"Fatty amides"	0.948	"N-acyl amines"	0.253	"Lipids and lipid-like molecules"	0.955	"Fatty Acyls"	0.941	"Fatty amides"	0.947	"N-acyl amines"	0.805	"N-acyl amines"	0.805	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	488.458	375	6.253	860778147757705728	860777697662716416	860777697662716416	1710	NA	1710
2	"C34H69NO3"	"[M + H]+"	"C34H70NO3+"	"Fatty acids"	1	"Spingolipids"	1	"Ceramides"	1	"Lipids and lipid-like molecules"	0.997	"Sphingolipids"	0.995	"Ceramides"	0.999	"Long-chain ceramides"	0.836	"Long-chain ceramides"	0.836	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Long-chain ceramides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	540.535	375	6.254	860778205387447168	860777697629161984	860777697624967680	1709	NA	1709
1	"C34H50O6"	"[M + H3N + H]+"	"C34H54NO6+"	"Terpenoids"	0.909	"Sesquiterpenoids"	0.16	"Tigliane diterpenoids"	0.095	"Benzenoids"	0.599	NA	NA	NA	NA	NA	NA	"Benzenoids"	0.599	"Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	572.395	376	6.259	860778176018928256	860777697788545536	860777697788545536	1714	NA	1714
1	"C31H46N2O6"	"[M + H]+"	"C31H47N2O6+"	"Alkaloids"	0.367	"Linear polyketides"	0.569	"Isoquinoline alkaloids"	0.277	"Organic oxygen compounds"	1	"Organooxygen compounds"	0.999	"Alcohols and polyols"	0.698	"Secondary alcohols"	0.522	"Secondary alcohols"	0.522	"Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	543.343	377	6.275	860778192456406784	860777698379942400	860777698379942400	1732	NA	1732
1	"C41H78NO8P"	"[M + H]+"	"C41H79NO8P+"	"Fatty acids"	0.999	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.998	"Lipids and lipid-like molecules"	0.989	"Glycerophospholipids"	0.999	"Glycerophosphocholines"	0.996	"Phosphatidylcholines"	0.991	"Phosphatidylcholines"	0.991	"Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	744.554	377	6.277	860778149351541504	860777697956317696	860777697956317696	1719	NA	1719
1	"C37H72NO8P"	"[M + H]+"	"C37H73NO8P+"	"Fatty acids"	0.997	"Glycerophospholipids"	0.998	"Glycerophosphoethanolamines"	0.994	"Lipids and lipid-like molecules"	0.977	"Glycerophospholipids"	0.997	"Glycerophosphoethanolamines"	0.984	"Phosphatidylethanolamines"	0.957	"Phosphatidylethanolamines"	0.957	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	690.508	377	6.281	860778146453277056	860777697759185408	860777697759185408	1713	NA	1713
3	"C30H33N3O2"	"[M + H3N + H]+"	"C30H37N4O2+"	"Alkaloids"	0.31	"Flavonoids"	0.058	"Pyrrole alkaloids"	0.058	"Benzenoids"	0.99	"Benzene and substituted derivatives"	0.932	"Phenylpropanes"	0.742	NA	NA	"Phenylpropanes"	0.742	"Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	485.29	377	6.285	860778146813987200	860777698476411392	860777698476411392	1735	NA	1735
1	"C34H52NO3"	"[M + H3N + H]+"	"C34H56N2O3+"	"Fatty acids"	0.852	"Fatty esters"	0.19	"N-acyl ethanolamines (endocannabinoids)"	0.117	"Lipids and lipid-like molecules"	0.795	"Fatty Acyls"	0.556	NA	NA	NA	NA	"Fatty Acyls"	0.556	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	540.427	377	6.286	860778148319742592	860777697822099968	860777697822099968	1715	NA	1715
1	"C45H62N2O6"	"[M + H3N + H]+"	"C45H66N3O6+"	"Alkaloids"	0.256	"Pseudoalkaloids (transamidation)"	0.22	"Steroidal alkaloids"	0.123	"Lipids and lipid-like molecules"	0.722	NA	NA	NA	NA	NA	NA	"Lipids and lipid-like molecules"	0.722	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	744.496	378	6.302	860778634464762112	860777697889208832	860777697889208832	1717	NA	1717
1	"C43H74NO8P"	"[M + H]+"	"C43H75NO8P+"	"Fatty acids"	0.999	"Glycerophospholipids"	1	"Glycerophosphoethanolamines"	0.998	"Lipids and lipid-like molecules"	0.991	"Glycerophospholipids"	0.999	"Glycerophosphoethanolamines"	0.993	"Phosphatidylethanolamines"	0.981	"Phosphatidylethanolamines"	0.981	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	764.523	379	6.31	860778152451132416	860777697922763264	860777697922763264	1718	NA	1718
1	"C36H72N2O4"	"[M + H3N + H]+"	"C36H76N3O4+"	"Fatty acids"	0.993	"Fatty esters"	0.736	"Fatty acyl carnitines"	0.137	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.998	"Amino acids, peptides, and analogues"	0.618	"Amino acids and derivatives"	0.611	"Amino acids and derivatives"	0.611	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	614.583	379	6.314	860778147996781184	860777698023426560	860777698019232256	1721	NA	1721
1	"C32H62O2"	"[M + H3N + H]+"	"C32H66NO2+"	"Fatty acids"	0.992	"Fatty esters"	0.989	"Wax monoesters"	0.94	"Lipids and lipid-like molecules"	0.973	"Fatty Acyls"	0.963	"Fatty acid esters"	0.927	"Wax esters"	0.673	"Wax monoesters"	0.681	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Fatty alcohol esters; Wax esters; Carbonyl compounds; Wax monoesters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	496.509	379	6.314	860778289231589504	860777697989872128	860777697989872128	1720	NA	1720
3	"C34H66O4"	"[M + H3N + H]+"	"C34H70NO4+"	"Fatty acids"	0.91	"Glycerolipids"	0.693	"Diacylglycerols"	0.482	"Lipids and lipid-like molecules"	0.986	"Steroids and steroid derivatives"	0.381	"Steroid esters"	0.53	NA	NA	"Steroid esters"	0.53	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Steroid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	556.53	379	6.316	860778148827253504	860777698052786688	860777698052786688	1722	NA	1722
